INFO 2022-09-19 19:11:38,681 basehttp 17924 19304 "GET /static/plugins/jquery-validation/additional-methods.min.js HTTP/1.1" 200 22659
INFO 2022-09-19 19:11:38,696 basehttp 17924 20896 "GET /static/sweetalert2-11.3.5/package/dist/sweetalert2.min.js HTTP/1.1" 200 43070
INFO 2022-09-19 19:11:38,700 basehttp 17924 8132 "GET /static/images/icgc_logo.jpg HTTP/1.1" 200 23852
INFO 2022-09-19 19:11:38,706 basehttp 17924 8132 "GET /media/game/thumbnail/GarenaThumnail.jpg HTTP/1.1" 200 11771
INFO 2022-09-19 19:11:38,710 basehttp 17924 19304 "GET /media/game/thumbnail/FFThumbnail.jpg HTTP/1.1" 200 126089
INFO 2022-09-19 19:11:38,713 basehttp 17924 20896 "GET /media/game/thumbnail/AOVThumnail.jpg HTTP/1.1" 200 128712
INFO 2022-09-19 19:11:38,722 basehttp 17924 20012 "GET /media/game/thumbnail/ValorantThumbnail.jpg HTTP/1.1" 200 208063
INFO 2022-09-19 19:11:38,723 basehttp 17924 19304 "GET /media/game/thumbnail/CODThumnail.jpg HTTP/1.1" 200 24829
INFO 2022-09-19 19:11:38,723 basehttp 17924 16964 "GET /media/game/thumbnail/LORThumbnail.jpg HTTP/1.1" 200 226454
INFO 2022-09-19 19:11:38,724 basehttp 17924 8132 "GET /media/game/thumbnail/LOLThumbnail.jpg HTTP/1.1" 200 67256
INFO 2022-09-19 19:11:38,726 basehttp 17924 20896 "GET /media/game/thumbnail/CFThumbnail.jpg HTTP/1.1" 200 104172
INFO 2022-09-19 19:11:38,730 basehttp 17924 19304 "GET /static/js/micelleneous/getcookies.js HTTP/1.1" 200 439
INFO 2022-09-19 19:11:38,731 basehttp 17924 8132 "GET /static/js/index.js HTTP/1.1" 200 1928
INFO 2022-09-19 19:11:39,296 basehttp 17924 7816 "GET /media/game/thumbnail/FTFUThumbnail.jpg HTTP/1.1" 200 1195570
INFO 2022-09-19 19:11:39,307 basehttp 17924 7816 "GET /static/images/icgc_logo.ico HTTP/1.1" 200 432254
INFO 2022-09-19 19:23:55,365 autoreload 19056 23100 Watching for file changes with StatReloader
INFO 2022-09-19 19:24:08,572 basehttp 19056 4304 "GET / HTTP/1.1" 200 15130
INFO 2022-09-19 19:24:13,919 basehttp 19056 4304 "GET / HTTP/1.1" 200 15130
INFO 2022-09-19 19:33:27,471 autoreload 19056 23100 D:\Django Projects\Ongoing Projects\ICareGameCredits\icaregamecredits\icgc_app\views.py changed, reloading.
INFO 2022-09-19 19:33:31,515 autoreload 2776 22472 Watching for file changes with StatReloader
INFO 2022-09-19 19:33:54,997 views 2776 2768 TAE
INFO 2022-09-19 19:33:55,012 basehttp 2776 2768 "GET / HTTP/1.1" 200 15130
INFO 2022-09-20 18:50:02,890 autoreload 13876 8912 Watching for file changes with StatReloader
INFO 2022-09-20 18:50:09,388 views 13876 25352 TAE
INFO 2022-09-20 18:50:09,582 basehttp 13876 25352 "GET / HTTP/1.1" 200 15130
INFO 2022-09-20 18:50:09,728 basehttp 13876 16292 "GET /static/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 200 8069
INFO 2022-09-20 18:50:09,749 basehttp 13876 24808 "GET /static/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 11967
INFO 2022-09-20 18:50:09,777 basehttp 13876 16292 "GET /static/plugins/bootstrap4-duallistbox/bootstrap-duallistbox.min.css HTTP/1.1" 200 1552
INFO 2022-09-20 18:50:09,802 basehttp 13876 27172 "GET /static/plugins/bootstrap-colorpicker/css/bootstrap-colorpicker.min.css HTTP/1.1" 200 9495
INFO 2022-09-20 18:50:09,803 basehttp 13876 24808 "GET /static/plugins/bs-stepper/css/bs-stepper.min.css HTTP/1.1" 200 3231
INFO 2022-09-20 18:50:09,846 basehttp 13876 16292 "GET /static/plugins/dropzone/min/dropzone.min.css HTTP/1.1" 200 9830
INFO 2022-09-20 18:50:09,854 basehttp 13876 1168 "GET /static/plugins/iCheck/square/blue.css HTTP/1.1" 200 1672
INFO 2022-09-20 18:50:09,864 basehttp 13876 23296 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 20020
INFO 2022-09-20 18:50:09,864 basehttp 13876 25352 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59305
INFO 2022-09-20 18:50:09,878 basehttp 13876 24808 "GET /static/plugins/select2/css/select2.min.css HTTP/1.1" 200 14966
INFO 2022-09-20 18:50:09,885 basehttp 13876 16292 "GET /static/plugins/select2-bootstrap4-theme/select2-bootstrap4.min.css HTTP/1.1" 200 6705
